offer_id,skill_name,skill_level
0,GenAI,4
0,Microsoft Azure,4
0,AI/ML Analytics,4
0,NLP,4
0,C++,4
0,LLMs,4
0,PyTorch,4
0,TensorFlow,4
0,JavaScript,4
0,Python,4
1,Python,5
1,Large Language Models,4
1,Machine Learning,4
2,AI,4
2,GenAI,4
2,TensorFlow,4
2,PyTorch,4
2,Ajax,4
2,LLM,4
2,Amazon AWS,4
3,LLM,3
3,Python,3
3,Langchain,3
3,Pandas,3
3,OpenAI GPT,3
3,Google Gemini,3
3,Cloud,3
3,Vertex AI,1
3,Azure AI Studio,1
3,Azure AI Search,1
4,AI,4
4,English,4
4,Python,4
4,LLM,3
4,Docker,3
4,Databases,3
5,Python,5
5,AWS,3
5,LLMs,3
5,RAG systems,3
6,AI,5
6,Python,5
6,AWS,4
6,OpenAI API,4
6,fastapi,4
6,REST API,3
6,Langchain,3
6,Hugging Face,3
6,Datadog,2
6,Jenkins,2
7,Spark,4
7,Hadoop,4
7,SQL,4
7,Python,4
8,Machine Learning,4
8,AI,4
8,Hadoop,4
8,Apache,4
8,Python,4
8,Apache Spark,4
8,T-SQL,3
8,PL/SQL,3
9,Machine Learning,3
9,Jupyter Notebook,3
9,AI,3
9,SciPy,3
9,NumPy,3
9,TensorFlow,3
9,Python,3
9,MLflow,2
9,Pandas,2
9,PyTorch,1
10,GenAI,3
10,Cloud,3
10,Java,3
10,Python,3
10,MLOps,3
11,English,Nan
11,GenAI,3
11,AzureML,3
11,AzureAI,3
11,Python,3
12,AI,5
12,Python,5
12,CI/CD,4
13,English,Nan
13,Python,4
13,MLOps,4
13,GenAI,4
13,Azure,4
14,CI/CD,4
14,GitHub,4
14,Python,4
14,AI,4
14,ETL,4
14,Azure,4
14,Scrum,4
14,Docker,4
14,Kubermetes,4
15,Business Analysis,4
15,AI,3
15,Scrum,3
16,Machine Learning,4
16,Python,4
16,E2E,4
16,MLflow,4
17,C#,3
17,MS Azure,3
17,ASP.NET,3
17,DDD,3
17,Onion Architecture,3
17,TDD,3
18,Python,5
18,Machine Learning,4
18,SQL,3
18,Data Science,3
19,Machine Learning,4
19,LLM,4
19,Cloud,4
19,AI,4
19,Team Management,4
19,Python,4
19,Data Science,4
19,Computer Vision,3
20,Python,4
20,Databases,4
20,OOP,3
20,Git,3
20,LLM,2
21,AI,4
21,Docker,4
21,ML,4
21,Kubernetes,4
21,Python,4
21,Azure,3
21,API,3
22,AI,4
22,.NET C#,4
22,Python,4
22,CI/CD,4
22,Cloud,3
22,DevOps,1
23,AWS,3
23,PyTorch,3
23,scikit learn,3
23,NumPy,3
23,Docker,3
23,Kubernetes,3
23,Pandas,3
24,Python,4
24,Azure,4
24,Azure AI foundry,3
24,GenAI,3
24,NLP,3
25,Computer science,4
25,Machine Learning,4
25,Python,4
26,Python,4
26,Autogen,4
26,Langgraph,4
26,Crew.AI,4
26,Langchain,4
26,AWS AI Foundry,4
26,Amazon Bedrock,4
27,LLM,4
27,SQL,4
27,Python,4
27,AWS,3
27,OpenAI,3
28,Machine Learning,4
28,LLM,4
28,Cloud,4
28,AI,4
28,Python,4
28,Data Science,4
28,Computer Vision,3
29,Databases,4
29,Python,4
29,NLP,3
29,LLM,3
29,OpenAI,3
29,MLOps,3
29,Docker,2
29,Kubernetes,2
29,AWS,1
29,Computer Vision,1
30,Python,5
30,Azure,4
30,Databricks,4
30,MLOps,4
30,DevOps,3
30,ML/AI,3
30,Spark,2
30,Scala,1
31,Machine Learning,4
31,Microsoft Azure,4
31,CI/CD,3
31,Docker,3
31,TensorFlow,3
31,Python,3
31,Kubernete,3
31,PyTorch,2
32,AI,5
32,Python,5
32,Redis,4
32,asyncio,4
32,RabbitMQ,4
32,Docker,4
32,Kafka,4
32,SQL,4
32,Cassandra,4
32,NoSQL,4
33,Docker,4
33,Azure,4
33,Python,4
33,GenerativeAI,4
34,NLP,5
34,LLM,5
35,Programming,4
35,Developer Support,4
35,English,4
35,Communication,4
35,Issue-Tracking System,3
35,Bash,3
35,AI Tools,3
35,Git,2
36,Machine Learning,3
36,AI,3
36,Analytics,3
36,SQL,3
36,Python,3
36,Przetwarzanie Danych,3
36,Analityka Biznesowa,3
36,Analityka Predykcyjna,3
37,C#,4
37,TypeScript,4
37,Azure DevOps,4
37,Python,4
37,Azure Gen AI,2
38,Python,4
38,LLM,3
38,NLP,3
38,Azure,2
38,GCP,2
38,Databricks,1
39,Python,2
39,SQL,2
39,Java,1
39,Clojure,1
40,AI,4
40,Python,4
40,Docker,3
40,Kubernetes,3
41,Machine Learning,4
41,PyTorch,4
41,scikit-learn,4
41,TensorFlow,4
41,Python,4
42,Computer Vision,4
42,AI,4
42,Azure,4
42,Python,4
42,Docker,3
42,Kubernetes,3
42,Data Science,3
42,Java,1
42,Big Data,1
43,kreatywność,1
43,ChatGPT,1
43,Odpowiedzialność,1
43,AI,1
44,Automation Tools,5
44,UiPath,5
44,SAP,4
44,AI,4
45,Machine Learning,1
45,DevOps,1
45,Cloud,1
45,CI/CD,1
45,Angular,1
45,AI,1
45,Java,1
45,JavaScript,1
45,Python,1
46,Machine Learning,4
46,AI,4
47,Python,4
47,Docker,3
47,Azure,3
47,GenerativeAI,3
48,Python,3
48,fastapi,3
48,rag,3
48,Prompt Engineering,3
48,OpenAI,3
48,Hugging Face,3
48,Vector Database,3
49,TypeScript,3
49,Node.js,3
49,AI,3
49,TensorFlow,3
49,JavaScript,3
49,Python,3
49,Nest.js,1
