offer_id,skill_name,skill_level,skill_level_name
0,Architecture,3,Regular
0,AI,3,Regular
0,Software Architecture,3,Regular
0,Azure,2,Junior
0,Enterprise Architect,2,Junior
1,Langchain,3,Regular
1,Langgraph,3,Regular
1,LangFuse,3,Regular
1,REST API,3,Regular
1,Prompt Engineering,3,Regular
1,Docker,2,Junior
1,Kubernetes,2,Junior
2,Python,4,Advanced
2,AI,4,Advanced
2,Graph databases,3,Regular
3,CI/CD,4,Advanced
3,GitHub,4,Advanced
3,Python,4,Advanced
3,AI,4,Advanced
3,ETL,4,Advanced
3,Azure,4,Advanced
3,Scrum,4,Advanced
3,Docker,4,Advanced
3,Kubermetes,4,Advanced
4,Python,4,Advanced
4,rag,3,Regular
4,Prompt Engineering,3,Regular
4,Langchain,3,Regular
4,Langgraph,3,Regular
4,Pandas,3,Regular
4,Azure,3,Regular
5,Azure,4,Advanced
5,Spark,3,Regular
5,Hadoop,3,Regular
5,Machine Learning,3,Regular
5,Data Science,3,Regular
6,Python,4,Advanced
6,Azure,4,Advanced
6,Azure AI foundry,3,Regular
6,GenAI,3,Regular
6,NLP,3,Regular
7,SQL,4,Advanced
7,Python,4,Advanced
7,Git,3,Regular
7,scikit-learn,3,Regular
8,English,Nan,C1
8,Machine Learning,4,Advanced
8,AWS,4,Advanced
8,TypeScript,4,Advanced
8,AI,4,Advanced
8,Azure,4,Advanced
8,Kubernetes,4,Advanced
8,Snowflake,4,Advanced
8,JavaScript,4,Advanced
8,Python,4,Advanced
8,Salesforce,3,Regular
9,Docker,4,Advanced
9,TensorFlow,4,Advanced
9,Python,4,Advanced
9,Generative AI,4,Advanced
9,Azure,3,Regular
9,OpenAI,3,Regular
10,Spark,4,Advanced
10,Hadoop,4,Advanced
10,SQL,4,Advanced
10,Python,4,Advanced
11,Docker,4,Advanced
11,Azure,4,Advanced
11,Python,4,Advanced
11,GenerativeAI,4,Advanced
12,PyTorch,3,Regular
12,TensorFlow,3,Regular
12,Langchain,3,Regular
12,LLM,3,Regular
12,MLOps,3,Regular
12,CI/CD,3,Regular
12,AWS,3,Regular
12,Azure,3,Regular
13,Python,5,Master
13,Microsoft Azure,4,Advanced
13,AI,4,Advanced
13,SQL,4,Advanced
13,DevOps tools,3,Regular
14,C#,4,Advanced
14,TypeScript,4,Advanced
14,Azure DevOps,4,Advanced
14,Python,4,Advanced
14,Azure Gen AI,2,Junior
15,C#,3,Regular
15,PostgreSQL,3,Regular
15,.Net Framework,3,Regular
15,Azure,3,Regular
15,REST API,3,Regular
15,MS SQL,3,Regular
15,Python,3,Regular
16,English,4,Advanced
16,AI,4,Advanced
16,Python,3,Regular
16,fastapi,3,Regular
16,Langchain,3,Regular
16,Langgraph,3,Regular
16,CrewAI,3,Regular
16,Azure,3,Regular
16,Pandas,3,Regular
16,.Net,3,Regular
17,MLOps,5,Master
17,Azure,4,Advanced
17,Databricks,4,Advanced
17,SQL,4,Advanced
17,Python,4,Advanced
18,n8n,4,Advanced
18,Make,4,Advanced
18,Zapier,4,Advanced
18,Airtable,4,Advanced
18,REST API,3,Regular
19,Python,5,Master
19,PostgreSQL,4,Advanced
19,Django,3,Regular
19,pytest,3,Regular
19,Django Rest Framework,3,Regular
19,Amazon AWS,2,Junior
20,AI,3,Regular
20,Machine Learning,2,Junior
20,C#,2,Junior
20,Java,2,Junior
20,Python,2,Junior
21,Python,4,Advanced
21,Databases,4,Advanced
21,OOP,3,Regular
21,Git,3,Regular
21,LLM,2,Junior
22,Business Analysis,5,Master
22,GenAI,4,Advanced
22,Machine Learning,4,Advanced
22,NLP,4,Advanced
22,LLM,4,Advanced
22,PyTorch,4,Advanced
22,AI,4,Advanced
22,AI/ML,4,Advanced
22,TensorFlow,4,Advanced
22,Python,4,Advanced
23,Python,5,Master
23,Machine Learning,4,Advanced
23,SQL,3,Regular
23,Data Science,3,Regular
24,LLM,4,Advanced
24,SQL,4,Advanced
24,Python,4,Advanced
24,AWS,3,Regular
24,OpenAI,3,Regular
25,English,Nan,C1
25,Polish,Nan,B2
25,Graph Machine Learning,4,Advanced
25,Deep Learning,4,Advanced
25,Machine Learning,3,Regular
25,R&D experience,3,Regular
25,Python,3,Regular
25,AI apps for drug discovery,1,Nice To Have
26,Machine Learning,3,Regular
26,Python,3,Regular
26,TensorFlow,3,Regular
26,PyTorch,3,Regular
26,scikit-learn,3,Regular
26,Apache Spark,3,Regular
26,Hadoop,3,Regular
26,Amazon SageMaker,3,Regular
26,Google Cloud AI Platform,3,Regular
27,Machine Learning,4,Advanced
27,Python,3,Regular
27,Databases,3,Regular
27,Data Warehousing,3,Regular
27,Big Data,3,Regular
27,Cloud,3,Regular
27,R,1,Nice To Have
28,English,Nan,C1
28,Polish,Nan,C2
28,AI,5,Master
29,LLM,3,Regular
29,AI,3,Regular
29,Docker,3,Regular
29,rag,3,Regular
29,Kubernetes,3,Regular
29,SQL,3,Regular
29,Python,3,Regular
29,NoSQL,3,Regular
29,Java,2,Junior
30,Data Annotation,5,Master
30,Data Labeling,5,Master
