offer_id,skill_name,skill_level,skill_level_name
0,Data Science,3,Regular
0,AI/ML,3,Regular
0,LLM,3,Regular
1,English,Nan,C1
1,AI,3,Regular
1,rag,3,Regular
1,Open source,3,Regular
1,Python,3,Regular
1,PyTorch,3,Regular
1,TensorFlow,3,Regular
2,English,Nan,C1
2,Python,5,Master
2,fastapi,5,Master
2,Flask,4,Advanced
2,CrewAI,3,Regular
2,AI/ML,3,Regular
3,Web3 protocols,4,Advanced
3,SQL,4,Advanced
3,NoSQL,4,Advanced
3,Apache Kafka,3,Regular
3,AI,3,Regular
4,PHP,3,Regular
5,English,Nan,B1
5,Polish,Nan,B1
5,TypeScript,5,Master
5,Node.js,5,Master
5,Blockchain,3,Regular
5,Langchain,1,Nice To Have
5,nestJS,1,Nice To Have
5,TheGraph,1,Nice To Have
5,LLMs & PromptEngineering,1,Nice To Have
5,Amazon AWS,1,Nice To Have
5,Architecture,1,Nice To Have
6,English,Nan,C1
6,OWL,3,Regular
6,RDF,3,Regular
6,SPARQL,3,Regular
6,SWL,3,Regular
6,Datalog,3,Regular
6,Databases,3,Regular
6,Data modeling,3,Regular
6,Python,3,Regular
6,SNOMED CT,1,Nice To Have
7,Python,5,Master
7,PyTorch,4,Advanced
7,TensorFlow,4,Advanced
7,AWS,3,Regular
7,Leadership,3,Regular
8,Python,5,Master
8,AI,3,Regular
8,Machine Learning,3,Regular
9,English,Nan,C1
9,Machine Learning,5,Master
9,NLP,5,Master
9,AI,5,Master
9,Python,5,Master
9,AWS,4,Advanced
10,Polish,Nan,C1
10,English,Nan,B2
10,Python,4,Advanced
10,NumPy,4,Advanced
10,PyTorch,4,Advanced
10,Deep Learning,4,Advanced
10,AI,4,Advanced
10,Machine Learning,4,Advanced
10,SQL,4,Advanced
11,AI,4,Advanced
12,Polish,Nan,C2
12,English,Nan,B2
12,Python,4,Advanced
12,TensorFlow,4,Advanced
12,Cloud,4,Advanced
12,AI,3,Regular
12,Microsoft Azure Cloud,1,Nice To Have
12,GCP,1,Nice To Have
12,Machine Learning,1,Nice To Have
13,English,Nan,C1
13,Cloud,5,Master
13,Databricks,5,Master
13,Python,5,Master
13,PySpark,3,Regular
13,Spark,3,Regular
14,Python,5,Master
14,AWS,4,Advanced
14,Airflow,4,Advanced
14,PyTorch,4,Advanced
14,OpenAI API,4,Advanced
14,TensorFlow,4,Advanced
14,fastapi,4,Advanced
14,Rust,3,Regular
15,Polish,Nan,C1
15,English,Nan,B2
15,AI,3,Regular
